flightTime, velocityX, velocityY, distanceX, distanceY
0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.010000, 866.065095, 9.836938, 8.688965, 9.836938
0.020000, 860.461294, 9.675189, 17.321597, 9.675189
0.030000, 854.914974, 9.514725, 25.898479, 9.514725
0.040000, 849.424559, 9.355520, 34.420176, 9.355520
0.050000, 843.988520, 9.197548, 42.887242, 9.197548
0.060000, 838.605402, 9.040784, 51.300211, 9.040784
0.070000, 833.273876, 8.885206, 59.659608, 8.885206
0.080000, 827.992733, 8.730793, 67.965941, 8.730793
0.090000, 822.760876, 8.577526, 76.219709, 8.577526
0.100000, 817.577311, 8.425386, 84.421400, 8.425386
0.110000, 812.441134, 8.274356, 92.571492, 8.274356
0.120000, 807.351529, 8.124420, 100.670455, 8.124420
0.130000, 802.307757, 7.975565, 108.718752, 7.975565
0.140000, 797.309148, 7.827775, 116.716836, 7.827775
0.150000, 792.355100, 7.681037, 124.665158, 7.681037
0.160000, 787.445067, 7.535340, 132.564158, 7.535340
0.170000, 782.578557, 7.390670, 140.414277, 7.390670
0.180000, 777.755126, 7.247018, 148.215945, 7.247018
0.190000, 772.974375, 7.104371, 155.969592, 7.104371
0.200000, 768.235943, 6.962721, 163.675644, 6.962721
0.210000, 763.539506, 6.822056, 171.334521, 6.822056
0.220000, 758.884768, 6.682367, 178.946643, 6.682367
0.230000, 754.271466, 6.543644, 186.512424, 6.543644
0.240000, 749.699357, 6.405879, 194.032278, 6.405879
0.250000, 745.168224, 6.269062, 201.506616, 6.269062
0.260000, 740.677867, 6.133185, 208.935846, 6.133185
0.270000, 736.228102, 5.998239, 216.320376, 5.998239
0.280000, 731.818760, 5.864215, 223.660610, 5.864215
0.290000, 727.449685, 5.731104, 230.956953, 5.731104
0.300000, 723.120730, 5.598899, 238.209805, 5.598899
0.310000, 718.831756, 5.467591, 245.419567, 5.467591
0.320000, 714.582630, 5.337171, 252.586639, 5.337171
0.330000, 710.373225, 5.207632, 259.711418, 5.207632
0.340000, 706.203416, 5.078964, 266.794302, 5.078964
0.350000, 702.073082, 4.951158, 273.835684, 4.951158
0.360000, 697.982101, 4.824208, 280.835960, 4.824208
0.370000, 693.930352, 4.698104, 287.795522, 4.698104
0.380000, 689.917712, 4.572837, 294.714763, 4.572837
0.390000, 685.944057, 4.448399, 301.594071, 4.448399
0.400000, 682.009259, 4.324782, 308.433838, 4.324782
0.410000, 678.113189, 4.201976, 315.234450, 4.201976
0.420000, 674.255698, 4.079973, 321.996295, 4.079973
0.430000, 670.436483, 3.958762, 328.719756, 3.958762
0.440000, 666.654994, 3.838334, 335.405213, 3.838334
0.450000, 662.910470, 3.718674, 342.053040, 3.718674
0.460000, 659.201955, 3.599771, 348.663602, 3.599771
0.470000, 655.528329, 3.481610, 355.237254, 3.481610
0.480000, 651.888320, 3.364177, 361.774337, 3.364177
0.490000, 648.280533, 3.247459, 368.275181, 3.247459
0.500000, 644.703456, 3.131440, 374.740101, 3.131440
0.510000, 641.155494, 3.016107, 381.169396, 3.016107
0.520000, 637.635205, 2.901447, 387.563350, 2.901447
0.530000, 634.141495, 2.787449, 393.922233, 2.787449
0.540000, 630.673604, 2.674106, 400.246309, 2.674106
0.550000, 627.231066, 2.561409, 406.535832, 2.561409
0.560000, 623.813693, 2.449354, 412.791056, 2.449354
0.570000, 620.421541, 2.337935, 419.012232, 2.337935
0.580000, 617.054894, 2.227148, 425.199614, 2.227148
0.590000, 613.714237, 2.116991, 431.353460, 2.116991
0.600000, 610.400239, 2.007459, 437.474032, 2.007459
0.610000, 607.113712, 1.898550, 443.561602, 1.898550
0.620000, 603.855403, 1.790261, 449.616447, 1.790261
0.630000, 600.625865, 1.682586, 455.638854, 1.682586
0.640000, 597.425475, 1.575521, 461.629110, 1.575521
0.650000, 594.254440, 1.469058, 467.587510, 1.469058
0.660000, 591.112821, 1.363192, 473.514346, 1.363192
0.670000, 588.000541, 1.257914, 479.409913, 1.257914
0.680000, 584.917400, 1.153219, 485.274503, 1.153219
0.690000, 581.863090, 1.049097, 491.108405, 1.049097
0.700000, 578.837200, 0.945541, 496.911907, 0.945541
0.710000, 575.839233, 0.842544, 502.685289, 0.842544
0.720000, 572.868630, 0.740097, 508.428828, 0.740097
0.730000, 569.924852, 0.638194, 514.142796, 0.638194
0.740000, 567.007414, 0.536827, 519.827457, 0.536827
0.750000, 564.115874, 0.435990, 525.483073, 0.435990
0.760000, 561.249833, 0.335675, 531.109902, 0.335675
0.770000, 558.408929, 0.235876, 536.708196, 0.235876
0.780000, 555.592837, 0.136586, 542.278205, 0.136586
0.790000, 552.801264, 0.037800, 547.820175, 0.037800
0.800000, 550.033946, -0.060489, 553.334351, -0.060489
0.810000, 547.290645, -0.158288, 558.820974, -0.158288
0.820000, 544.571151, -0.255601, 564.280283, -0.255601
0.830000, 541.875271, -0.352436, 569.712515, -0.352436
0.840000, 539.202830, -0.448798, 575.117906, -0.448798
0.850000, 536.553629, -0.544693, 580.496688, -0.544693
0.860000, 533.927444, -0.640127, 585.849093, -0.640127
0.870000, 531.324028, -0.735105, 591.175351, -0.735105
0.880000, 528.743112, -0.829635, 596.475686, -0.829635
0.890000, 526.184407, -0.923720, 601.750324, -0.923720
0.900000, 523.647608, -1.017366, 606.999484, -1.017366
0.910000, 521.132396, -1.110580, 612.223384, -1.110580
0.920000, 518.638437, -1.203365, 617.422238, -1.203365
0.930000, 516.165389, -1.295727, 622.596257, -1.295727
0.940000, 513.712898, -1.387670, 627.745649, -1.387670
0.950000, 511.280601, -1.479200, 632.870616, -1.479200
0.960000, 508.868131, -1.570321, 637.971360, -1.570321
0.970000, 506.475117, -1.661036, 643.048076, -1.661036
0.980000, 504.101228, -1.751351, 648.100958, -1.751351
0.990000, 501.746192, -1.841269, 653.130195, -1.841269
1.000000, 499.409796, -1.930795, 658.135975, -1.930795
1.010000, 497.091877, -2.019933, 663.118483, -2.019933
1.020000, 494.792320, -2.108689, 668.077904, -2.108689
1.030000, 492.511055, -2.197067, 673.014421, -2.197067
1.040000, 490.248048, -2.285072, 677.928217, -2.285072
1.050000, 488.003302, -2.372709, 682.819473, -2.372709
1.060000, 485.776853, -2.459984, 687.688374, -2.459984
1.070000, 483.568761, -2.546902, 692.535102, -2.546902
1.080000, 481.379117, -2.633469, 697.359842, -2.633469
1.090000, 479.208029, -2.719692, 702.162777, -2.719692
1.100000, 477.055628, -2.805576, 706.944096, -2.805576
1.110000, 474.922060, -2.891129, 711.703984, -2.891129
1.120000, 472.807480, -2.976356, 716.442632, -2.976356
1.130000, 470.712020, -3.061265, 721.160229, -3.061265
1.140000, 468.635767, -3.145862, 725.856968, -3.145862
1.150000, 466.578764, -3.230154, 730.533041, -3.230154
1.160000, 464.541020, -3.314146, 735.188640, -3.314146
1.170000, 462.522504, -3.397846, 739.823957, -3.397846
1.180000, 460.523158, -3.481258, 744.439186, -3.481258
1.190000, 458.542891, -3.564388, 749.034516, -3.564388
1.200000, 456.581586, -3.647243, 753.610138, -3.647243
1.210000, 454.639101, -3.729826, 758.166242, -3.729826
1.220000, 452.715274, -3.812143, 762.703014, -3.812143
1.230000, 450.809921, -3.894198, 767.220640, -3.894198
1.240000, 448.922841, -3.975997, 771.719304, -3.975997
1.250000, 447.053816, -4.057544, 776.199187, -4.057544
1.260000, 445.202615, -4.138842, 780.660469, -4.138842
1.270000, 443.368993, -4.219896, 785.103327, -4.219896
1.280000, 441.552697, -4.300709, 789.527935, -4.300709
1.290000, 439.753462, -4.381284, 793.934466, -4.381284
1.300000, 437.971026, -4.461626, 798.323089, -4.461626
1.310000, 436.205151, -4.541737, 802.693970, -4.541737
1.320000, 434.455610, -4.621621, 807.047273, -4.621621
1.330000, 432.722198, -4.701281, 811.383162, -4.701281
1.340000, 431.004721, -4.780722, 815.701797, -4.780722
1.350000, 429.303001, -4.859946, 820.003336, -4.859946
1.360000, 427.616872, -4.938958, 824.287935, -4.938958
1.370000, 425.946180, -5.017762, 828.555750, -5.017762
1.380000, 424.290782, -5.096361, 832.806935, -5.096361
1.390000, 422.650544, -5.174759, 837.041642, -5.174759
1.400000, 421.025342, -5.252961, 841.260021, -5.252961
1.410000, 419.415059, -5.330970, 845.462223, -5.330970
1.420000, 417.819586, -5.408791, 849.648396, -5.408791
1.430000, 416.238822, -5.486427, 853.818688, -5.486427
1.440000, 414.672669, -5.563884, 857.973246, -5.563884
1.450000, 413.121038, -5.641165, 862.112214, -5.641165
1.460000, 411.583843, -5.718274, 866.235739, -5.718274
1.470000, 410.061002, -5.795217, 870.343963, -5.795217
1.480000, 408.552438, -5.871997, 874.437030, -5.871997
1.490000, 407.058077, -5.948619, 878.515083, -5.948619
1.500000, 405.577848, -6.025087, 882.578262, -6.025087
1.510000, 404.111679, -6.101407, 886.626710, -6.101407
1.520000, 402.659499, -6.177581, 890.660566, -6.177581
1.530000, 401.221234, -6.253615, 894.679970, -6.253615
1.540000, 399.796810, -6.329514, 898.685060, -6.329514
1.550000, 398.386153, -6.405280, 902.675975, -6.405280
1.560000, 396.989187, -6.480920, 906.652851, -6.480920
1.570000, 395.605835, -6.556436, 910.615826, -6.556436
1.580000, 394.236019, -6.631834, 914.565036, -6.631834
1.590000, 392.879660, -6.707118, 918.500614, -6.707118
1.600000, 391.536678, -6.782291, 922.422696, -6.782291
1.610000, 390.206992, -6.857358, 926.331414, -6.857358
1.620000, 388.890521, -6.932322, 930.226902, -6.932322
1.630000, 387.587181, -7.007189, 934.109290, -7.007189
1.640000, 386.296889, -7.081962, 937.978711, -7.081962
1.650000, 385.019560, -7.156645, 941.835293, -7.156645
1.660000, 383.755108, -7.231241, 945.679166, -7.231241
1.670000, 382.503446, -7.305756, 949.510459, -7.305756
1.680000, 381.264487, -7.380192, 953.329299, -7.380192
1.690000, 380.038142, -7.454553, 957.135812, -7.454553
1.700000, 378.824323, -7.528844, 960.930124, -7.528844
1.710000, 377.622939, -7.603067, 964.712360, -7.603067
1.720000, 376.433899, -7.677227, 968.482645, -7.677227
1.730000, 375.257113, -7.751327, 972.241100, -7.751327
1.740000, 374.092487, -7.825371, 975.987848, -7.825371
1.750000, 372.939930, -7.899361, 979.723010, -7.899361
1.760000, 371.799348, -7.973302, 983.446706, -7.973302
1.770000, 370.670647, -8.047197, 987.159056, -8.047197
1.780000, 369.553733, -8.121049, 990.860178, -8.121049
1.790000, 368.448511, -8.194861, 994.550189, -8.194861
1.800000, 367.354887, -8.268637, 998.229206, -8.268637
1.810000, 366.272764, -8.342380, 1001.897344, -8.342380
